'Key','Item Type','Publication Year','Author','Title','Publication Title','ISBN','ISSN','DOI','Url','Abstract Note','Date','Date Added','Date Modified','Access Date','Pages','Num Pages','Issue','Volume','Number Of Volumes','Journal Abbreviation','Short Title','Series','Series Number','Series Text','Series Title','Publisher','Place','Language','Rights','Type','Archive','Archive Location','Library Catalog','Call Number','Extra','Notes','File Attachments','Link Attachments','Manual Tags','Automatic Tags','Editor','Series Editor','Translator','Contributor','Attorney Agent','Book Author','Cast Member','Commenter','Composer','Cosponsor','Counsel','Interviewer','Producer','Recipient','Reviewed Author','Scriptwriter','Words By','Guest','Number','Edition','Running Time','Scale','Medium','Artwork Size','Filing Date','Application Number','Assignee','Issuing Authority','Country','Meeting Name','Conference Name','Court','References','Reporter','Legal Status','Priority Numbers','Programming Language','Version','System','Code','Code Number','Section','Session','Committee','History','Legislative Body'
'X7YSC7CJ','conferencePaper',2009,'Abawajy; Jemal H','Design and Delivery of Undergraduate InformationTechnology Security Management Course','ADVANCES IN InformationSecurity  AND ASSURANCE','978-3-642-02616-4',,'10.1007/978-3-642-02617-1_41',,'Information technology has become the core tool of business organisations. External and internal threats as well as legal; regulatory and contractual compliance requirements are all combining to make effective InformationSecurity  a key   informationTechnology  management challenges. This paper describes an undergraduate   informationTechnology  security management course that provides comprehensive knowledge and skills necessary to manage both strategic and operational aspects of InformationSecurity . The course covers a broad range of managerial topics in   informationTechnology  security and makes use of a number of security tools and techniques to complement the theory taught. In this paper; we describe our approach; our experiences and lessons learned for teaching   informationTechnology  security management course. The paper details the content of the course and outlines how it is taught and assessed.',2009,'2018-11-29 12:52:42','2018-11-29 12:52:42',,'402–411',,,5576,,,,'Lecture Notes in Computer Science',,,,,,,,,,,,,,,,,,,'Park; JH and Chen; HH and Atiquzzaman; M and Lee; C and Kim; T and Yeo; SS',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'THTF9GDG','conferencePaper',2008,'Kamel; M.; Laborde; R.; Benzekri; A.; Barrere; F.','A best practices-oriented approach for establishing trust chains within Virtual Organisations','Proceedings - IEEE International Enterprise Distributed Object Computing Workshop; EDOC','978-1-4244-4485-4',,'10.1109/EDOCW.2008.3',,'Within a Virtual Organisation collaborative environment; the organisations security domains must be interconnected through Internet and Information and Communication Technologies to allow these organisations to share data and exchange resources and competencies in a secure way. Each organisation must open its information system and thus; security concerns are raised when setting up collaboration. The partner organisations need to establish a chain of trust; they need to know the level of experience and maturity the administrators have regarding security issues. Security practices; security policies;  ISM and security standards are the security management mechanisms adopted to offer to partners a way to quantify trust In this paper; we detail our tool tailored to evaluate the maturity level of the security practices deployed within the organisations information systems; this tool is based on the InformationSecurity  best practices provided by the ISO/IEC 17799 security standard which we have adapted to Virtual Organisations. Our tool is a support decision system providing the partner organisations by the means to choose the best solution for building the collaborative network.',2008,'2018-11-29 12:52:42','2018-11-29 12:52:42',,'167–174',,,,,,,,,,,'IEEE',,,,,,,,,,,,,'ISMS; InformationSecurity ; ISO/IEC 27001; Best practices; ISO/IEC 17799; Maturity level; Trust chain; Virtual organisations',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'9EJF8UK5','conferencePaper',2017,'Fangfang; Dang; Fajia; Ji; Lei; Zhu; Ying; Yang','A Brief Talk on InformationSecurity  Basic Management Work of Intelligent Electric Grid Security Defense System','Proceedings of the 2017 4Th International Conference on Machinery; Materials and Computer (Macmc 2017)','978-94-6252-439-2',,,,'With the rapid development of the intelligent electric grid; the InformationSecurity  has been a key factor of the stable operation. It has been urgent that how to optimize the InformationSecurity  defense system on the base of the existing institution mechanism and maintenance framework. This paper has started with the basic management; strengthened the InformationSecurity  basic management; regulated the InformationSecurity  work process; combined the new technology with normal work. It has realized the special work normalization; optimized the close-loop management and constructed a more standard ISM  process. Facts show that the failure rate of system has been decreased and the whole level of information network performance and maintenance has been promoted largely.',2017,'2018-11-29 12:52:43','2018-11-29 12:52:43',,'509–511',,,150,,,,'AER-Advances in Engineering Research',,,,'Res Inst Management Sci & Ind Engn; Int Informat & Engn Assoc; Natl Inst Technol',,,,,,,,,,,,,,,'Zhu; M and Xia; X',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'W3BP36PA','conferencePaper',2011,'Sadok; M.; Spagnoletti; P.','A business aware InformationSecurity  risk analysis method','Information Technology and Innovation Trends in Organizations - ItAIS: The Italian Association for Information Systems','978-3-7908-2631-9',,'10.1007/978-3-7908-2632-6_51',,'Understanding the molecular mechanisms that shape an effective cellular response is a fundamental question in biology. Biochemical measurements have revealed critical information about the order of protein-protein interactions along signaling cascades but lack the resolution to determine kinetics and localization of interactions on the plasma membrane. Furthermore; the local membrane environment influences membrane receptor distributions and dynamics; which in turn influences signal transduction. To measure dynamic protein interactions and elucidate the consequences of membrane architecture interplay; direct measurements at high spatiotemporal resolution are needed. In this review; we discuss the biochemical principles regulating membrane nanodomain formation and protein function; ranging from the lipid nanoenvironment to the cortical cytoskeleton. We also discuss recent advances in fluorescence microscopy that are making it possible to quantify protein organization and biochemical events at the nanoscale in the living cell membrane.',2011,'2018-11-29 12:52:43','2018-11-29 12:52:43',,'453–460',,,,,,,,,,,'Parthenope Univ',,,,,,,,,'PMID: 22004174',,,,,,'DAtri; A and Ferrara; M and George; JF and Spagnoletti; P',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'H74DE578','journalArticle',2015,'Ahmad; Atif; Maynard; Sean B.; Shanks; Graeme','A case analysis of information systems and security incident responses','International Journal of Information Management',,'02684012','10.1016/j.ijinfomgt.2015.08.001',,'Our case analysis presents and identifies significant and systemic shortcomings of the incident response practices of an Australian financial organization. Organizational Incident Response Teams accumulate considerable experience in addressing InformationSecurity  failures and attacks. Their first-hand experiences provide organizations with a unique opportunity to draw security lessons and insights towards improving enterprise-wide security management processes. However; previous research shows a distinct lack of communication and collaboration between the functions of incident response and security management; suggesting organizations are not learning from their incident experiences. We subsequently propose a number of lessons learned and a novel security-learning model.',2015,'2018-11-29 12:52:44','2018-11-29 12:52:44',,'717–723',,6,35,,,,,,,,,,,,,,,,,'PMID: 24635376',,,,'ISM ; Incident Response Teams; Organizational learning; Security learning',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'K7G7R46X','journalArticle',2018,'Abdul Molok; Nurul Nuha; Ahmad; Atif; Chang; Shanton','A case analysis of securing organisations against information leakage through online social networking','International Journal of Information Management',,'02684012','10.1016/j.ijinfomgt.2018.08.013',,'The inadvertent leakage of sensitive information through Online Social Networking (OSN) represents a significant source of security risk to organisations. Leakage of sensitive information such as trade secrets; intellectual property and personal details of employees can result in a loss of competitive advantage; loss of reputation; and erosion of client trust. We present 4 case studies which examine drivers for employee leakage behaviour and corresponding security management strategies. Drawing on these case studies; we present a maturity framework for  organizational OSN Leakage Mitigation Capability (OSN-LMC) and lessons learned from the case analysis.',2018,'2018-11-29 12:52:44','2018-11-29 12:52:44',,'351–356',,,43,,,,,,,,,,,,,,,,,,,,,'ISM ; Information leakage; Maturity framework; Online social networking',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'GAEKDFWH','conferencePaper',2015,'Huang; Rengen; Zhu; Zhen','A Case Study on Risk Management of Enterprise InformationSecurity ','2015 2nd International Conference on Creative Education (ICCE 2015); Pt 2','978-981-09-4799-6',,,,'Based on a case for constructing InformationSecurity  system in an inorganic materials manufacturing enterprise; this paper discusses the concepts of InformationSecurity ; ISM  and InformationSecurity  risk management. The framework of InformationSecurity  system and the construction procedure of InformationSecurity  risk management system are introduced. In the work process of risk appraising; all risk factors are sorted by using comparison matrix. So; the risk handling scheme is designed to implement in two stages according to the order of priority. The practice has proved that it is necessary to take active and effective measures in risk recognizing and risk controlling. Only in this way enterprise can effectively reduce the risk probability; or decrease the loss once risk occurs.',2015,'2018-11-29 12:52:44','2018-11-29 12:52:44',,'201–208',,,11,,,,'Advances in Education Sciences',,,,'Singapore Management & Sports Sci Inst; Singapore & Acad Conf Inst',,,,,,,,,,,,,,,'Zhang; B',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'EBAN5CSK','conferencePaper',2016,'Sisiaridis; Dimitrios; Kuchta; Veronika; Markowitch; Olivier','A Categorical Approach in Handling Event-Ordering in Distributed Systems','2016 Ieee 22Nd International Conference on Parallel and Distributed Systems (Icpads)','978-1-5090-4457-3',,'10.1109/ICPADS.2016.148',,'The issue of event-ordering in distributed systems is crucial an connected to threat management. In this paper; we investigate the use of modifications for handling event-ordering. We employ category theory to strike a balance between Lamport clocks; which enforce global order but lose information about causality; and Vector clocks; which have more precise causality information but do not scale well. We extend previous work on Godement calculus and cartesian closed comma categories for ISM . Finally; we propose a framework for implementing our approach in the detection of threats and attacks in communication systems.',2016,'2018-11-29 12:52:45','2018-11-29 12:52:45',,'1145–1150',,,,,,,'International Conference on Parallel and Distributed Systems - Proceedings',,,,'IEEE; IEEE Comp Soc; Huazhong Univ Sci & Technol',,,,,,,,,,,,,,,'Liao; X and Lovas; R and Shen; X and Zheng; R',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'FK9BNQXJ','conferencePaper',2011,'Wang; P; Xing; L N','A Collaborative Framework for  ISM  Using Intelligent Multi-Agent','Components; Packaging and Manufacturing Technology','1013-9826',,'10.4028/www.scientific.net/KEM.460-461.428',,'Business use of Internet has exposed security as one of the key-factors for successful online competition. There are very few sound existing ISG frameworks that can effectively guide most organizations in their InformationSecurity  governance endeavors. This paper presents a collaborative framework for  ISM  in order to elucidate how InformationSecurity  should be addressed at an executive level. The advanced intelligent multi-agent technology is applied in this proposed framework. In order to evaluate the proposed framework; this paper describes a prototype system based on this proposed collaborative framework. This prototype system suggests that the proposed collaborative framework is feasible; correct and valid. ',2011,'2018-11-29 12:52:45','2018-11-29 12:52:45',,'428–432',,,'460-461',,,,'Key Engineering Materials',,,,'Int Sci & Engn Ctr; Hong Kong & Wuhan Univ Sci & Technol',,,,,,,,,,,,,'InformationSecurity ; management system; collaborative framework; multi-agent',,'Wu; YW',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'P3AEHBJM','conferencePaper',2010,'Karabacak; Bilge; Ozkan; Sevgi','A Collaborative Process Based Risk Analysis for  ISM s','Proceedings of the 5Th International Conference on Information Warfare and Security','978-1-906638-61-0',,,,'Today; many organizations quote intent for ISO/IEC 27001:2005 certification. Also; some organizations are en route to certification or already certified. Certification process requires performing a risk analysis in the specified scope. Risk analysis is a challenging process especially when the topic is InformationSecurity . Today; a number of methods and tools are available for InformationSecurity  risk analysis. The hard task is to use the best fit for the certification. In this work we have proposed a process based risk analysis method which is suitable for ISO/IEC 27001:2005 certifications. Our risk analysis method allows the participation of staff to the determination of the scope and provides a good fit for the certification process. The proposed method has been conducted for an organization and the results of the applications are shared with the audience. The proposed collaborative risk analysis method allows for the participation of staff and managers while still being manageable in a timely manner to uncover crucial InformationSecurity  risks.',2010,'2018-11-29 12:52:46','2018-11-29 12:52:46',,'182–192',,,,,,,,,,,,,,,,,,,,,,,,,,'Armistead; EL',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
