,0_novo,1_novo,2,3_novo,4_novo,5_novo,0_velho,1_velho,3_velho,4_velho,5_velho
0,1,1,038003-2,Integra GS 1.8,,,1.0,1.0,Integra GS 1.8,Dezembro/2019,Integra
1,2,1,038002-4,Legend 3.2/3.5,,,2.0,1.0,Legend 3.2/3.5,Dezembro/2019,Legend
2,3,1,038001-6,NSX 3.0,,,3.0,1.0,NSX 3.0,Dezembro/2019,NSX
3,4,2,060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,,,4.0,2.0,MARRUÁ 2.8 12V 132cv TDI Diesel,Dezembro/2019,MARRUA
4,4564,2,060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,,,4564.0,2.0,MARRUÁ AM 100 2.8  CS TDI Diesel,Dezembro/2019,MARRUA
5,4563,2,060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,,,4563.0,2.0,MARRUÁ AM 100 2.8 CD TDI Diesel,Dezembro/2019,MARRUA
6,4566,2,060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,,,4566.0,2.0,MARRUÁ AM 150 2.8  CS TDI Diesel,Dezembro/2019,MARRUA
7,4565,2,060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,,,4565.0,2.0,MARRUÁ AM 150 2.8 CD TDI Diesel,Dezembro/2019,MARRUA
8,4567,2,060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,,,4567.0,2.0,MARRUÁ AM 200 2.8  CD TDI Diesel,Dezembro/2019,MARRUA
9,4568,2,060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,,,4568.0,2.0,MARRUÁ AM 200 2.8 CS TDI Diesel,Dezembro/2019,MARRUA
10,4569,2,060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,,,4569.0,2.0,MARRUÁ AM 50 2.8 140cv TDI Diesel,Dezembro/2019,MARRUA
11,5,3,006009-7,145 Elegant 1.7/1.8 16V,,,5.0,3.0,145 Elegant 1.7/1.8 16V,Dezembro/2019,145
12,6,3,006001-1,145 Elegant 2.0 16V,,,6.0,3.0,145 Elegant 2.0 16V,Dezembro/2019,145
13,7,3,006002-0,145 Quadrifoglio 2.0,,,7.0,3.0,145 Quadrifoglio 2.0,Dezembro/2019,145
14,8,3,006008-9,145 QV,,,8.0,3.0,145 QV,Dezembro/2019,145
15,9,3,006017-8,147 2.0 16V 148cv 4p Semi-Aut.,,,9.0,3.0,147 2.0 16V 148cv 4p Semi-Aut.,Dezembro/2019,147
16,10,3,006003-8,155,,,10.0,3.0,155,Dezembro/2019,155
17,11,3,006004-6,155 Super,,,11.0,3.0,155 Super,Dezembro/2019,155
18,12,3,006015-1,156 2.5 V6 24V 190cv 4p Aut.,,,12.0,3.0,156 2.5 V6 24V 190cv 4p Aut.,Dezembro/2019,156
19,13,3,006014-3,156 Sport Wagon 2.0 16V,,,13.0,3.0,156 Sport Wagon 2.0 16V,Dezembro/2019,156
20,14,3,006016-0,156 Sport Wagon 2.5 V6 24V 4p Aut.,,,14.0,3.0,156 Sport Wagon 2.5 V6 24V 4p Aut.,Dezembro/2019,156
21,15,3,006010-0,156 TS/Sport/Elegant 2.0 16V,,,15.0,3.0,156 TS/Sport/Elegant 2.0 16V,Dezembro/2019,156
22,16,3,006005-4,164 3.0 V6,,,16.0,3.0,164 3.0 V6,Dezembro/2019,164
23,17,3,006006-2,164 Super V6 24V,,,17.0,3.0,164 Super V6 24V,Dezembro/2019,164
24,18,3,006011-9,166 3.0 V6 24V,,,18.0,3.0,166 3.0 V6 24V,Dezembro/2019,166
25,19,3,006013-5,2300 TI/TI-4,,,19.0,3.0,2300 TI/TI-4,Dezembro/2019,2300
26,20,3,006007-0,Spider 2.0/3.0,,,20.0,3.0,Spider 2.0/3.0,Dezembro/2019,Spider
27,21,4,037001-0,Hummer Hard-Top 6.5 4x4 Diesel TB,,,21.0,4.0,Hummer Hard-Top 6.5 4x4 Diesel TB,Dezembro/2019,Hummer
28,22,4,037002-9,Hummer Open-Top 6.5 4x4 Diesel TB,,,22.0,4.0,Hummer Open-Top 6.5 4x4 Diesel TB,Dezembro/2019,Hummer
29,23,4,037003-7,Hummer Wagon 6.5 4x4 Diesel TB,,,23.0,4.0,Hummer Wagon 6.5 4x4 Diesel TB,Dezembro/2019,Hummer
30,24,5,007018-1,AM-825 Luxo 4.0 Diesel,,,24.0,5.0,AM-825 Luxo 4.0 Diesel,Dezembro/2019,AM-825
31,25,5,007019-0,AM-825 Super Luxo 4.0 Diesel,,,25.0,5.0,AM-825 Super Luxo 4.0 Diesel,Dezembro/2019,AM-825
32,26,5,007001-7,Hi-Topic SLX/SDX/DLX Full Diesel,,,26.0,5.0,Hi-Topic SLX/SDX/DLX Full Diesel,Dezembro/2019,Hi-Topic
33,27,5,007002-5,Hi-Topic STD Diesel,,,27.0,5.0,Hi-Topic STD Diesel,Dezembro/2019,Hi-Topic
34,28,5,007017-3,Hi-Topic Van 2.7 Diesel (furgão),,,28.0,5.0,Hi-Topic Van 2.7 Diesel (furgão),Dezembro/2019,Hi-Topic
35,29,5,007020-3,Jipe Rocsta GT 4x4 2.2 Diesel,,,29.0,5.0,Jipe Rocsta GT 4x4 2.2 Diesel,Dezembro/2019,Jipe
